Start,Ziel,Entfernung
BREMER KREUZ,ACHIM - NORD (A 27),4
ACHIM - NORD (A 27),ACHIM - OST (A 27),2
ACHIM - OST (A 27),VERDEN - NORD (A 27),14
VERDEN - NORD (A 27),VERDEN - OST (A 27),4
VERDEN - OST (A 27),WALSRODE - WEST (A 27),21
WALSRODE - WEST (A 27),WALSRODE - SUED (A 27),3
WALSRODE - SUED (A 27),DREIECK WALSRODE,8
LEER - OST (A 28),FILSUM (A 28),6
FILSUM (A 28),APEN / REMELS (A 28),9
APEN / REMELS (A 28),WESTERSTEDE - WEST (A 28),10
WESTERSTEDE - WEST (A 28),WESTERSTEDE (A 28),3
WESTERSTEDE (A 28),BAD ZWISCHENAHN - WEST (A 28),2
BAD ZWISCHENAHN - WEST (A 28),DREIECK WESTERSTEDE,4
DREIECK WESTERSTEDE,ZWISCHENAHNER MEER (A 28),3
ZWISCHENAHNER MEER (A 28),NEUENKRUGE (A 28),5
NEUENKRUGE (A 28),OLDENBURG - WECHLOY (A 28),6
OLDENBURG - WECHLOY (A 28),DREIECK OLDENBURG - WEST,2
DREIECK OLDENBURG - WEST,OLDENBURG - HAARENTOR (A 28),1
OLDENBURG - HAARENTOR (A 28),OLDENBURG - EVERSTEN (Nordteil) (A 28),1
OLDENBURG - EVERSTEN (Nordteil) (A 28),OLDENBURG - EVERSTEN (Südteil) (A 28),0.5
OLDENBURG - EVERSTEN (Südteil) (A 28),OLDENBURG - MARSCHWEG (A 28),1
OLDENBURG - MARSCHWEG (A 28),OLDENBURG - KREYENBRUECK (Westteil) (A 28),1
OLDENBURG - KREYENBRUECK (Westteil) (A 28),OLDENBURG - KREYENBRUECK (Ostteil) (A 28),0.2
OLDENBURG - KREYENBRUECK (Ostteil) (A 28),OLDENBURG - OSTERNBURG (A 28),3
OLDENBURG - OSTERNBURG (A 28),KREUZ OLDENBURG - OST,1
KREUZ OLDENBURG - OST,HATTEN (A 28),8
HATTEN (A 28),HUDE (A 28),7
HUDE (A 28),GANDERKESEE - WEST (A 28),5
GANDERKESEE - WEST (A 28),GANDERKESEE - OST (A 28),2
GANDERKESEE - OST (A 28),DELMENHORST - DEICHHORST (A 28),2
DELMENHORST - DEICHHORST (A 28),DELMENHORST - ADELHEIDE (A 28),2
DELMENHORST - ADELHEIDE (A 28),DELMENHORST - HASPORT (A 28),2
DELMENHORST - HASPORT (A 28),DREIECK DELMENHORST,1
DREIECK DELMENHORST,GROSS MACKENSTEDT (A 28),3
GROSS MACKENSTEDT (A 28),DREIECK STUHR,0.4
FEDDERWARDERGRODEN (A 29),WILHELMSHAVEN -  FEDDERWARDERGRODEN  (Südteil) (A 29),1
WILHELMSHAVEN -  FEDDERWARDERGRODEN  (Südteil) (A 29),WILHELMSHAVEN (A 29),2
WILHELMSHAVEN (A 29),WILHELMSHAVEN - FEDDERWARDEN (A 29),3
WILHELMSHAVEN - FEDDERWARDEN (A 29),WILHELMSHAVENER KREUZ,4
WILHELMSHAVENER KREUZ,SANDE (A 29),4
SANDE (A 29),ZETEL (A 29),5
ZETEL (A 29),VAREL - BOCKHORN (A 29),8
VAREL - BOCKHORN (A 29),VAREL / OBENSTROHE (A 29),2
VAREL / OBENSTROHE (A 29),KREUZ JADERBERG,5
KREUZ JADERBERG,JADERBERG (A 29),1
JADERBERG (A 29),HAHN - LEHMDEN (A 29),5
HAHN - LEHMDEN (A 29),RASTEDE (A 29),5
RASTEDE (A 29),KREUZ OLDENBURG - NORD,5
KREUZ OLDENBURG - NORD,OLDENBURG - OHMSTEDE (A 29),6
OLDENBURG - OHMSTEDE (A 29),OLDENBURG - HAFEN (A 29),3
OLDENBURG - HAFEN (A 29),KREUZ OLDENBURG - OST,3
KREUZ OLDENBURG - OST,SANDKRUG (A 29),7
SANDKRUG (A 29),WARDENBURG (A 29),3
WARDENBURG (A 29),GROSSENKNETEN (A 29),9
GROSSENKNETEN (A 29),AHLHORN (A 29),6
AHLHORN (A 29),DREIECK AHLHORNER HEIDE,7
Bundesgrenze Bad Bentheim NL-D (A 30),GILDEHAUS (A 30),3
GILDEHAUS (A 30),NORDHORN / BAD BENTHEIM (A 30),6
NORDHORN / BAD BENTHEIM (A 30),SCHUETTORF - NORD (A 30),7
SCHUETTORF - NORD (A 30),KREUZ SCHUETTORF,1
KREUZ SCHUETTORF,SALZBERGEN (A 30),6
SALZBERGEN (A 30),RHEINE - NORD (A 30),7
RHEINE - NORD (A 30),RHEINE (A 30),5
RHEINE (A 30),RHEINE - KANALHAFEN (A 30),4
RHEINE - KANALHAFEN (A 30),HOERSTEL (A 30),4
HOERSTEL (A 30),IBBENBUEREN - WEST (A 30),4
IBBENBUEREN - WEST (A 30),IBBENBUEREN (A 30),4
IBBENBUEREN (A 30),LAGGENBECK (A 30),4
LAGGENBECK (A 30),LOTTE (A 30),9
LOTTE (A 30),KREUZ LOTTE / OSNABRUECK,2
KREUZ LOTTE / OSNABRUECK,HASBERGEN - GASTE (A 30),2
HASBERGEN - GASTE (A 30),OSNABRUECK - HELLERN (A 30),3
OSNABRUECK - HELLERN (A 30),OSNABRUECK - SUTTHAUSEN (A 30),3
OSNABRUECK - SUTTHAUSEN (A 30),OSNABRUECK - NAHNE (A 30),2
OSNABRUECK - NAHNE (A 30),KREUZ OSNABRUECK - SUED,2
KREUZ OSNABRUECK - SUED,NATBERGEN (A 30),3
NATBERGEN (A 30),BISSENDORF (A 30),3
BISSENDORF (A 30),GESMOLD (A 30),8
GESMOLD (A 30),MELLE - WEST (A 30),4
MELLE - WEST (A 30),MELLE - OST (A 30),2
MELLE - OST (A 30),RIEMSLOH (A 30),5
RIEMSLOH (A 30),BRUCHMUEHLEN (A 30),4
BRUCHMUEHLEN (A 30),BUENDE (A 30),6
BUENDE (A 30),HIDDENHAUSEN (A 30),5
HIDDENHAUSEN (A 30),KREUZ KIRCHLENGERN,4
KREUZ KIRCHLENGERN,LOEHNE (A 30),4
LOEHNE (A 30),LOEHNE - SUED (A 30),2
LOEHNE - SUED (A 30),EIDINGHAUSEN (A 30),5
EIDINGHAUSEN (A 30),DREIECK DEHME,2
DREIECK DEHME,REHME (A 30),2
REHME (A 30),KREUZ BAD OEYNHAUSEN,2
KREUZ BAD OEYNHAUSEN,BAD OEYNHAUSEN - SUED (A 30),1
EMDEN - WEST (A 31),PEWSUM (A 31),2
PEWSUM (A 31),EMDEN - MITTE (A 31),2
EMDEN - MITTE (A 31),EMDEN - WOLTHUSEN (A 31),3
EMDEN - WOLTHUSEN (A 31),EMDEN - OST (A 31),1
EMDEN - OST (A 31),RIEPE (A 31),7
RIEPE (A 31),NEERMOOR (A 31),10
NEERMOOR (A 31),VEENHUSEN (A 31),2
VEENHUSEN (A 31),DREIECK LEER,4
DREIECK LEER,LEER - NORD (A 31),3
LEER - NORD (A 31),LEER - WEST (A 31),5
LEER - WEST (A 31),JEMGUM (A 31),1
JEMGUM (A 31),WEENER (A 31),10
WEENER (A 31),DREIECK BUNDE,2
DREIECK BUNDE,PAPENBURG (A 31),3
PAPENBURG (A 31),RHEDE (A 31),8
RHEDE (A 31),DOERPEN (A 31),9
DOERPEN (A 31),LATHEN (A 31),13
LATHEN (A 31),HAREN (A 31),8
HAREN (A 31),WESUWE (A 31),7
WESUWE (A 31),KREUZ MEPPEN - NORD,4
KREUZ MEPPEN - NORD,TWIST (A 31),6
TWIST (A 31),GEESTE (A 31),9
GEESTE (A 31),WIETMARSCHEN (A 31),6
WIETMARSCHEN (A 31),LINGEN (A 31),7
LINGEN (A 31),EMSBUEREN (A 31),15
EMSBUEREN (A 31),KREUZ SCHUETTORF,2
KREUZ SCHUETTORF,SCHUETTORF - OST (A 31),2
SCHUETTORF - OST (A 31),OCHTRUP - NORD (A 31),11
OCHTRUP - NORD (A 31),KREUZ GRONAU / OCHTRUP,7
KREUZ GRONAU / OCHTRUP,HEEK (A 31),8
HEEK (A 31),LEGDEN / AHAUS (A 31),8
LEGDEN / AHAUS (A 31),GESCHER / COESFELD (A 31),13
GESCHER / COESFELD (A 31),BORKEN (A 31),10
BORKEN (A 31),REKEN (A 31),5
REKEN (A 31),LEMBECK (A 31),6
LEMBECK (A 31),DREIECK RHADE,1
DREIECK RHADE,SCHERMBECK (A 31),6
SCHERMBECK (A 31),DORSTEN - WEST (A 31),6
DORSTEN - WEST (A 31),KREUZ KIRCHHELLEN - NORD,3
KREUZ KIRCHHELLEN - NORD,KIRCHHELLEN (A 31),2.2
KIRCHHELLEN (A 31),GLADBECK (A 31),2
GLADBECK (A 31),DREIECK BOTTROP,4
OSNABRUECK - LUESTRINGEN (A 33),OSNABRUECK - FLEDDER (A 33),2
OSNABRUECK - FLEDDER (A 33),KREUZ OSNABRUECK - SUED,1
KREUZ OSNABRUECK - SUED,HARDERBERG (A 33),3
HARDERBERG (A 33),BORGLOH / KLOSTER OESEDE (A 33),4
BORGLOH / KLOSTER OESEDE (A 33),HILTER (A 33),7
HILTER (A 33),DISSEN / BAD ROTHENFELDE (A 33),3
DISSEN / BAD ROTHENFELDE (A 33),DISSEN - SUED (A 33),2
DISSEN - SUED (A 33),BORGHOLZHAUSEN (A 33),4
BORGHOLZHAUSEN (A 33),KREUZ BIELEFELD,30
KREUZ BIELEFELD,SCHLOSS HOLTE - STUKENBROCK (A 33),6
SCHLOSS HOLTE - STUKENBROCK (A 33),STUKENBROCK - SENNE (A 33),8
STUKENBROCK - SENNE (A 33),PADERBORN - SENNELAGER (A 33),8
PADERBORN - SENNELAGER (A 33),PADERBORN - SCHLOSS NEUHAUS (A 33),5
PADERBORN - SCHLOSS NEUHAUS (A 33),PADERBORN - ELSEN (A 33),2
PADERBORN - ELSEN (A 33),PADERBORN - ZENTRUM (A 33),3
PADERBORN - ZENTRUM (A 33),PADERBORN - MOENKELOH (A 33),3
PADERBORN - MOENKELOH (A 33),BORCHEN (A 33),4
BORCHEN (A 33),BORCHEN - ETTELN (A 33),4
BORCHEN - ETTELN (A 33),KREUZ WUENNENBERG - HAAREN,3
BEINHORN (A 37),KREUZ HANNOVER - KIRCHHORST,4
KREUZ HANNOVER - KIRCHHORST,KREUZ HANNOVER - BUCHHOLZ,3
KREUZ HANNOVER - BUCHHOLZ,HANNOVER - MISBURG (A 37),2
HANNOVER - MISBURG (A 37),DREIECK LAATZEN,10.7
DREIECK LAATZEN,DREIECK HANNOVER - SUED,4
DREIECK DRAMMETAL,DRAMFELD (A 38),0.5
DRAMFELD (A 38),DEIDERODE (A 38),2
DEIDERODE (A 38),FRIEDLAND (A 38),3
FRIEDLAND (A 38),ARENSHAUSEN (A 38),9
ARENSHAUSEN (A 38),HEILIGENSTADT (A 38),7
HEILIGENSTADT (A 38),LEINEFELDE - WORBIS (A 38),16
LEINEFELDE - WORBIS (A 38),BREITENWORBIS (A 38),7
BREITENWORBIS (A 38),BLEICHERODE (A 38),12
BLEICHERODE (A 38),DREIECK GROSSWECHSUNGEN,12
DREIECK GROSSWECHSUNGEN,WERTHER (A 38),2
WERTHER (A 38),NORDHAUSEN (A 38),4
NORDHAUSEN (A 38),HERINGEN (A 38),6
HERINGEN (A 38),BERGA (A 38),11
BERGA (A 38),ROSSLA (A 38),5
ROSSLA (A 38),SANGERHAUSEN - WEST (A 38),13
SANGERHAUSEN - WEST (A 38),SANGERHAUSEN - SUED (A 38),3
SANGERHAUSEN - SUED (A 38),DREIECK SUEDHARZ,2
DREIECK SUEDHARZ,ALLSTEDT (A 38),5
ALLSTEDT (A 38),EISLEBEN (A 38),11
EISLEBEN (A 38),QUERFURT (A 38),8
QUERFURT (A 38),SCHAFSTAEDT (A 38),8
SCHAFSTAEDT (A 38),DREIECK HALLE - SUED,7
DREIECK HALLE - SUED,BAD LAUCHSTAEDT (A 38),3
BAD LAUCHSTAEDT (A 38),MERSEBURG - NORD (A 38),3
MERSEBURG - NORD (A 38),MERSEBURG - SUED (A 38),7
MERSEBURG - SUED (A 38),LEUNA (A 38),6
LEUNA (A 38),KREUZ RIPPACHTAL,7
KREUZ RIPPACHTAL,LUETZEN (A 38),6
LUETZEN (A 38),LEIPZIG - SUEDWEST (A 38),10
LEIPZIG - SUEDWEST (A 38),LEIPZIG - NEUE HARTH (A 38),3
LEIPZIG - NEUE HARTH (A 38),LEIPZIG - SUED   KREUZ LEIPZIG,7
LEIPZIG - SUED   KREUZ LEIPZIG,LEIPZIG - SUEDOST (A 38),6
LEIPZIG - SUEDOST (A 38),DREIECK PARTHENAUE,9
WEYHAUSEN (A 39),WOLFSBURG - SANDKAMP (A 39),3
WOLFSBURG - SANDKAMP (A 39),WOLFSBURG - AUTOSTADT / VW-WERK (A 39),1
WOLFSBURG - AUTOSTADT / VW-WERK (A 39),WOLFSBURG - FALLERSLEBEN (A 39),1
WOLFSBURG - FALLERSLEBEN (A 39),WOLFSBURG - MOERSE  (Nordteil) (A 39),2
WOLFSBURG - MOERSE  (Nordteil) (A 39),WOLFSBURG - MOERSE  (Südteil) (A 39),0.5
WOLFSBURG - MOERSE  (Südteil) (A 39),FLECHTORF (A 39),3
FLECHTORF (A 39),KREUZ WOLFSBURG / KOENIGSLUTTER,7
KREUZ WOLFSBURG / KOENIGSLUTTER,SCHEPPAU (A 39),1
SCHEPPAU (A 39),CREMLINGEN (A 39),7
CREMLINGEN (A 39),SICKTE (A 39),4
SICKTE (A 39),BRAUNSCHWEIG - RAUTHEIM (A 39),2
BRAUNSCHWEIG - RAUTHEIM (A 39),BRAUNSCHWEIG - SUEDSTADT (A 39),3
BRAUNSCHWEIG - SUEDSTADT (A 39),KREUZ BRAUNSCHWEIG - SUED,1
KREUZ BRAUNSCHWEIG - SUED,DREIECK BRAUNSCHWEIG - SUEDWEST,1
DREIECK BRAUNSCHWEIG - SUEDWEST,BRAUNSCHWEIG - RUENINGEN-NORD  (Nordteil) (A 39),1
BRAUNSCHWEIG - RUENINGEN-NORD  (Nordteil) (A 39),BRAUNSCHWEIG - RUENINGEN-NORD  (Südteil) (A 39),0.3
BRAUNSCHWEIG - RUENINGEN-NORD  (Südteil) (A 39),BRAUNSCHWEIG - RUENINGEN-SUED (A 39),2
BRAUNSCHWEIG - RUENINGEN-SUED (A 39),SALZGITTER - THIEDE (A 39),3
SALZGITTER - THIEDE (A 39),SALZGITTER - LEBENSTEDT-NORD (A 39),7
SALZGITTER - LEBENSTEDT-NORD (A 39),SALZGITTER - WATENSTEDT (A 39),3
SALZGITTER - WATENSTEDT (A 39),SALZGITTER - LEBENSTEDT-SUED (A 39),2
SALZGITTER - LEBENSTEDT-SUED (A 39),SALZGITTER - LICHTENBERG (Ostteil) (A 39),3
SALZGITTER - LICHTENBERG (Ostteil) (A 39),SALZGITTER - LICHTENBERG  (Westteil) (A 39),0.5
SALZGITTER - LICHTENBERG  (Westteil) (A 39),WESTERLINDE (A 39),5
WESTERLINDE (A 39),BADDECKENSTEDT (A 39),3
BADDECKENSTEDT (A 39),DREIECK SALZGITTER,2
Bundesgrenze Straelen NL-D (A 40),STRAELEN (A 40),4
STRAELEN (A 40),WANKUM (A 40),2
WANKUM (A 40),WACHTENDONK (A 40),5
WACHTENDONK (A 40),KREUZ KEMPEN,4
KREUZ KEMPEN,KERKEN (A 40),4
KERKEN (A 40),NEUKIRCHEN - VLUYN (A 40),5
NEUKIRCHEN - VLUYN (A 40),KREUZ MOERS,4
KREUZ MOERS,MOERS (A 40),0.4
MOERS (A 40),MOERS - ZENTRUM (A 40),2
MOERS - ZENTRUM (A 40),DUISBURG - RHEINHAUSEN (A 40),2
DUISBURG - RHEINHAUSEN (A 40),DUISBURG - HOMBERG (A 40),3
DUISBURG - HOMBERG (A 40),DUISBURG - HAEFEN  (Westteil) (A 40),2
DUISBURG - HAEFEN  (Westteil) (A 40),DUISBURG - HAEFEN  (Ostteil) (A 40),1
DUISBURG - HAEFEN  (Ostteil) (A 40),KREUZ DUISBURG,2
KREUZ DUISBURG,KREUZ KAISERBERG,2
KREUZ KAISERBERG,DUISBURG - KAISERBERG (A 40),1
DUISBURG - KAISERBERG (A 40),MUELHEIM (A 40),3
MUELHEIM (A 40),MUELHEIM - STYRUM (A 40),1
MUELHEIM - STYRUM (A 40),MUELHEIM - DUEMPTEN (A 40),2
MUELHEIM - DUEMPTEN (A 40),MUELHEIM - WINKHAUSEN (A 40),2
MUELHEIM - WINKHAUSEN (A 40),MUELHEIM - HEISSEN  (Westteil) (A 40),2
MUELHEIM - HEISSEN  (Westteil) (A 40),MUELHEIM - HEISSEN  (Ostteil) (A 40),0.4
MUELHEIM - HEISSEN  (Ostteil) (A 40),MUELHEIM - HEIMATERDE (A 40),0.5
MUELHEIM - HEIMATERDE (A 40),ESSEN - FROHNHAUSEN (A 40),2
ESSEN - FROHNHAUSEN (A 40),ESSEN - HOLSTERHAUSEN (A 40),1
ESSEN - HOLSTERHAUSEN (A 40),ESSEN - ZENTRUM (A 40),1
ESSEN - ZENTRUM (A 40),ESSEN - ZENTRUM (Ost) (A 40),1
ESSEN - ZENTRUM (Ost) (A 40),ESSEN - HUTTROP (A 40),1
ESSEN - HUTTROP (A 40),DREIECK ESSEN - OST,1
DREIECK ESSEN - OST,ESSEN - FRILLENDORF (A 40),1
ESSEN - FRILLENDORF (A 40),ESSEN - FRILLENDORF  (Westteil) (A 40),0.4
ESSEN - FRILLENDORF  (Westteil) (A 40),ESSEN - FRILLENDORF  (Ostteil) (A 40),0.5
ESSEN - FRILLENDORF  (Ostteil) (A 40),ESSEN - KRAY (A 40),1
ESSEN - KRAY (A 40),KREUZ GELSENKIRCHEN - SUED,2
KREUZ GELSENKIRCHEN - SUED,BOCHUM - WATTENSCHEID - WEST (A 40),2
BOCHUM - WATTENSCHEID - WEST (A 40),BOCHUM - WATTENSCHEID (A 40),1
BOCHUM - WATTENSCHEID (A 40),BOCHUM - DUECKERWEG (A 40),0.2
BOCHUM - DUECKERWEG (A 40),BOCHUM - STAHLHAUSEN  BOCHUMER WESTKREUZ,2
BOCHUM - STAHLHAUSEN  BOCHUMER WESTKREUZ,BOCHUM - HAMME (A 40),2
BOCHUM - HAMME (A 40),FREUDENBERGSTRASSE (A 40),1
FREUDENBERGSTRASSE (A 40),BOCHUM - ZENTRUM (A 40),1
BOCHUM - ZENTRUM (A 40),BOCHUM - STADION (A 40),1
BOCHUM - STADION (A 40),BOCHUM - HARPEN (A 40),2
BOCHUM - HARPEN (A 40),KREUZ BOCHUM,1
KREUZ BOCHUM,BOCHUM - WERNE (A 40),1
BOCHUM - WERNE (A 40),DORTMUND - LUETGENDORTMUND (A 40),3
DORTMUND - LUETGENDORTMUND (A 40),DORTMUND - KLEY (A 40),3
DORTMUND - KLEY (A 40),KREUZ DORTMUND - WEST,1
KREUZ DORTMUND - WEST,DORTMUND - DORSTFELD (A 40),1
DORTMUND - DORSTFELD (A 40),DORTMUND - BAROP (A 40),2
KREUZ KAMP - LINTFORT,MOERS - NORD (A 42),4
MOERS - NORD (A 42),DUISBURG - BAERL (A 42),3
DUISBURG - BAERL (A 42),DUISBURG - BEECKERWERTH (A 42),2
DUISBURG - BEECKERWERTH (A 42),DUISBURG - BEECK  (Westteil) (A 42),2
DUISBURG - BEECK  (Westteil) (A 42),DUISBURG - BEECK  (Ostteil) (A 42),0.5
DUISBURG - BEECK  (Ostteil) (A 42),KREUZ DUISBURG - NORD,3
KREUZ DUISBURG - NORD,DUISBURG - NEUMUEHL (A 42),2
DUISBURG - NEUMUEHL (A 42),KREUZ OBERHAUSEN - WEST,2
KREUZ OBERHAUSEN - WEST,OBERHAUSEN - BUSCHHAUSEN (A 42),2
OBERHAUSEN - BUSCHHAUSEN (A 42),KREUZ OBERHAUSEN - ZENTRUM,2
KREUZ OBERHAUSEN - ZENTRUM,OBERHAUSEN - NEUE MITTE (A 42),2
OBERHAUSEN - NEUE MITTE (A 42),BOTTROP - SUED (A 42),3
BOTTROP - SUED (A 42),KREUZ ESSEN - NORD,4
KREUZ ESSEN - NORD,ESSEN - ALTENESSEN (A 42),1
ESSEN - ALTENESSEN (A 42),GELSENKIRCHEN - HESSLER (A 42),2
GELSENKIRCHEN - HESSLER (A 42),GELSENKIRCHEN - ZENTRUM (A 42),2
GELSENKIRCHEN - ZENTRUM (A 42),GELSENK. - SCHALKE   KREUZ G. - BISMARCK,2
GELSENK. - SCHALKE   KREUZ G. - BISMARCK,GELSENKIRCHEN - BISMARCK (A 42),2
GELSENKIRCHEN - BISMARCK (A 42),HERNE - WANNE (A 42),2
HERNE - WANNE (A 42),HERNE - CRANGE (A 42),1
HERNE - CRANGE (A 42),KREUZ HERNE,2
KREUZ HERNE,HERNE - BAUKAU (A 42),1
HERNE - BAUKAU (A 42),HERNE - HORSTHAUSEN (A 42),2
HERNE - HORSTHAUSEN (A 42),HERNE - BOERNIG (A 42),2
HERNE - BOERNIG (A 42),CASTROP - RAUXEL - BLADENHORST (A 42),2
CASTROP - RAUXEL - BLADENHORST (A 42),CASTROP - RAUXEL (A 42),2
CASTROP - RAUXEL (A 42),KREUZ CASTROP - RAUXEL - OST,3
KREUZ CASTROP - RAUXEL - OST,DORTMUND - BODELSCHWINGH (A 42),0.2
KREUZ MUENSTER - SUED,SENDEN (A 43),5
SENDEN (A 43),NOTTULN (A 43),6
NOTTULN (A 43),KREUZ DUELMEN - NORD,10
KREUZ DUELMEN - NORD,DUELMEN (A 43),2
DUELMEN (A 43),LAVESUM (A 43),9
LAVESUM (A 43),HALTERN (A 43),6
HALTERN (A 43),KREUZ MARL - NORD,3
KREUZ MARL - NORD,KREUZ MARL - SINSEN,6
KREUZ MARL - SINSEN,RECKLINGHAUSEN / HERTEN (Nordteil) (A 43),4
RECKLINGHAUSEN / HERTEN (Nordteil) (A 43),RECKLINGHAUSEN / HERTEN (Südteil) (A 43),1
RECKLINGHAUSEN / HERTEN (Südteil) (A 43),KREUZ RECKLINGHAUSEN,3
KREUZ RECKLINGHAUSEN,RECKLINGHAUSEN - HOCHLARMARK (A 43),2
RECKLINGHAUSEN - HOCHLARMARK (A 43),KREUZ HERNE,3
KREUZ HERNE,HERNE - EICKEL (A 43),1
HERNE - EICKEL (A 43),BOCHUM - RIEMKE (A 43),2
BOCHUM - RIEMKE (A 43),BOCHUM - GERTHE (A 43),4
BOCHUM - GERTHE (A 43),KREUZ BOCHUM,1
KREUZ BOCHUM,BOCHUM - LAER (A 43),2
BOCHUM - LAER (A 43),KREUZ BOCHUM / WITTEN,2
KREUZ BOCHUM / WITTEN,BOCHUM - QUERENBURG (A 43),0.5
BOCHUM - QUERENBURG (A 43),WITTEN - HEVEN (A 43),3
WITTEN - HEVEN (A 43),WITTEN - HERBEDE (A 43),3
WITTEN - HERBEDE (A 43),SPROCKHOEVEL (A 43),7
SPROCKHOEVEL (A 43),KREUZ WUPPERTAL - NORD (Nordteil),5
KREUZ WUPPERTAL - NORD (Nordteil),KREUZ WUPPERTAL - NORD (Südteil),1
Bundesgrenze Lichtenbusch B-D (A 44),AACHEN - LICHTENBUSCH (A 44),0.5
AACHEN - LICHTENBUSCH (A 44),AACHEN - BRAND (A 44),6
AACHEN - BRAND (A 44),KREUZ AACHEN,4
KREUZ AACHEN,BROICHWEIDEN (A 44),2
BROICHWEIDEN (A 44),ALSDORF (A 44),6
ALSDORF (A 44),ALDENHOVEN (A 44),5
ALDENHOVEN (A 44),KREUZ JUELICH - WEST,4
KREUZ JUELICH - WEST,KREUZ JUELICH - OST,6
KREUZ JUELICH - OST,TITZ (A 44),6
TITZ (A 44),DREIECK JACKERATH,5
DREIECK JACKERATH,JUECHEN - HOCHNEUKIRCH (A 44),2
JUECHEN - HOCHNEUKIRCH (A 44),DREIECK HOLZ,6
DREIECK HOLZ,KREUZ MOENCHENGLADBACH - ODENKIRCHEN,2
KREUZ MOENCHENGLADBACH - ODENKIRCHEN,MOENCHENGLADBACH - OST (A 44),13
MOENCHENGLADBACH - OST (A 44),KREUZ NEERSEN,2
KREUZ NEERSEN,NEERSEN (A 44),2
NEERSEN (A 44),MUENCHHEIDE (A 44),2
MUENCHHEIDE (A 44),KREUZ KREFELD - FORSTWALD,2
KREUZ KREFELD - FORSTWALD,KREFELD - FICHTENHAIN (A 44),2
KREFELD - FICHTENHAIN (A 44),OSTERATH (A 44),4
OSTERATH (A 44),KREUZ MEERBUSCH,2
KREUZ MEERBUSCH,LANK - LATUM (A 44),2
LANK - LATUM (A 44),DUESSELDORF - MESSE / ARENA (A 44),5
DUESSELDORF - MESSE / ARENA (A 44),DUESSELDORF - STOCKUM (Westteil) (A 44),1
DUESSELDORF - STOCKUM (Westteil) (A 44),DUESSELDORF - STOCKUM (Ostteil) (A 44),0.3
DUESSELDORF - STOCKUM (Ostteil) (A 44),DUESSELDORF - FLUGHAFEN (A 44),2
DUESSELDORF - FLUGHAFEN (A 44),KREUZ DUESSELDORF - NORD  (Nordteil),2.5
KREUZ DUESSELDORF - NORD  (Nordteil),KREUZ DUESSELDORF - NORD  (Südteil),1
KREUZ DUESSELDORF - NORD  (Südteil),RATINGEN - SCHWARZBACH (A 44),4
RATINGEN - SCHWARZBACH (A 44),RATINGEN - OST (A 44),1
RATINGEN - OST (A 44),KREUZ RATINGEN - OST,2
KREUZ RATINGEN - OST,HEILIGENHAUS (A 44),4
HEILIGENHAUS (A 44),KREUZ HETTERSCHEIDT,4
KREUZ HETTERSCHEIDT,HEILIGENHAUS - HETTERSCHEIDT (A 44),1
HEILIGENHAUS - HETTERSCHEIDT (A 44),VELBERT - NORD (A 44),2
VELBERT - NORD (A 44),DREIECK VELBERT - NORD,1
DREIECK VELBERT - NORD,LANGENBERG (A 44),2
LANGENBERG (A 44),ESSEN - KUPFERDREH (Südteil) (A 44),2.5
ESSEN - KUPFERDREH (Südteil) (A 44),ESSEN - KUPFERDREH (Nordteil) (A 44),0.5
ESSEN - KUPFERDREH (Nordteil) (A 44),ESSEN - UEBERRUHR (A 44),2
ESSEN - UEBERRUHR (A 44),ESSEN - HEISINGEN (A 44),1
ESSEN - HEISINGEN (A 44),KREUZ ESSEN - BERGERHAUSEN,3
KREUZ ESSEN - BERGERHAUSEN,DREIECK ESSEN - OST,5.3
DREIECK ESSEN - OST,ESSEN - FRILLENDORF (A 44),1
ESSEN - FRILLENDORF (A 44),ESSEN - FRILLENDORF  (Westteil) (A 44),1
ESSEN - FRILLENDORF  (Westteil) (A 44),ESSEN - FRILLENDORF  (Ostteil) (A 44),0.4
ESSEN - FRILLENDORF  (Ostteil) (A 44),ESSEN - KRAY (A 44),0.5
ESSEN - KRAY (A 44),KREUZ GELSENKIRCHEN - SUED,1
KREUZ GELSENKIRCHEN - SUED,BOCHUM - WATTENSCHEID - WEST (A 44),2
BOCHUM - WATTENSCHEID - WEST (A 44),BOCHUM - WATTENSCHEID (A 44),3
BOCHUM - WATTENSCHEID (A 44),BOCHUM - DUECKERWEG (A 44),0.2
BOCHUM - DUECKERWEG (A 44),BOCHUM - STAHLHAUSEN  BOCHUMER WESTKREUZ,2
BOCHUM - STAHLHAUSEN  BOCHUMER WESTKREUZ,KREUZ BOCHUM / WITTEN,9.7
KREUZ BOCHUM / WITTEN,WITTEN - ZENTRUM (A 44),2
WITTEN - ZENTRUM (A 44),WITTEN - STOCKUM (A 44),3
WITTEN - STOCKUM (A 44),WITTEN - ANNEN (A 44),2
WITTEN - ANNEN (A 44),KREUZ DORTMUND / WITTEN,2
KREUZ DORTMUND / WITTEN,KREUZ DORTMUND / UNNA,18
KREUZ DORTMUND / UNNA,KREUZ UNNA - OST,4
KREUZ UNNA - OST,KREUZ WERL,13
KREUZ WERL,WERL - SUED (A 44),3
WERL - SUED (A 44),SOEST (A 44),12
SOEST (A 44),SOEST - OST (A 44),4
SOEST - OST (A 44),KREUZ ERWITTE / ANROECHTE,11
KREUZ ERWITTE / ANROECHTE,GESEKE (A 44),14
